title,height,width,year,drawingMaterial,support,price,sold,series,catalogueNumber,description
Abstract Forest Path,11,14,2019,Acrylic Collage,Canvas Board,400,,Abstract and Fantasy,,
Atwood and McGuff-Silverman Collaborative Painting,29,42,2014,Acrylic,canvas,1000,,Abstract and Fantasy,,
Beach Sunset,8,10,2019,Acrylic,paper,250,,Abstract and Fantasy,,
C1,11,14,2016,Acrylic,canvas,400,,Abstract and Fantasy,,
Catnap,11,14,2018,Mix Media,Paper,400,,Abstract and Fantasy,,
Clay Print 2,11,14,2008,Clay,fiber cloth,75,,Abstract and Fantasy,,
Clay Print 3,11,14,2008,Clay,fiber cloth,75,,Abstract and Fantasy,,
Clay Print with Felting,11,14,2008,Clay and Wool,wool felt,75,,Abstract and Fantasy,,
Consumer's Web,12,16,2020,Acrylic,canvas,500,,Abstract and Fantasy,,
Day of the Dead,8,12,2008,Oil,canvas,,,Abstract and Fantasy,,
Day of the Dead Freda Portrait,8,10,2016,Acrylic,canvas,250,,Abstract and Fantasy,,
Earth Meets Sky,8,10,0,Acrylic,canvas,250,,Abstract and Fantasy,,
Fairies Sleeping,11,14,2009,Watercolor,paper,400,,Abstract and Fantasy,,
Grow Beyond the Drip Line,10,10,2016,Acrylic,canvas,260,,Abstract and Fantasy,,
Growth Rings,10,10,2016,Acrylic,canvas,260,,Abstract and Fantasy,,
Illuminated Writing 1,1.5,4,1975,Mix Media,paper,75,,Abstract and Fantasy,358,
Illuminated Writing 2,8,10,1977,mix media,paper,50,,Abstract and Fantasy,370,
Illuminated Writing 3,8,10,1977,mix media,paper,50,,Abstract and Fantasy,360,
Illuminated Writing 4,8,10,1977,mix media,paper,50,,Abstract and Fantasy,361,
Illuminated Writing 5,8,10,1977,mix media,paper,50,,Abstract and Fantasy,362,
Illuminated Writing 6,8,10,1977,mix media,paper,50,,Abstract and Fantasy,363,
Illuminated Writing 7,3,6.5,1975,Mix Media,paper,50,,Abstract and Fantasy,364,
Illuminated Writing 8,3,6.5,1975,Mix Media,paper,50,,Abstract and Fantasy,365,
Illuminated Writing 9,3,6.5,1975,Mix Media,paper,50,,Abstract and Fantasy,366,
Intersection Post Card AIR,5,7,2010,mix media,paper,,TRUE,Abstract and Fantasy,,
Nature's Bath,18,24,2009,pastel,paper,800,,Abstract and Fantasy,,
